id,name,year,co2
06103,"Tehama County, CA",2017,971093.5177
06105,"Trinity County, CA",2017,235389.0325
06107,"Tulare County, CA",2017,6649694.586
06109,"Tuolumne County, CA",2017,1266784.836
06111,"Ventura County, CA",2017,16264816.14
06113,"Yolo County, CA",2017,5480169.066
06115,"Yuba County, CA",2017,1347521.147
08001,"Adams County, CO",2017,unknown
08003,"Alamosa County, CO",2017,unknown
08005,"Arapahoe County, CO",2017,unknown
08007,"Archuleta County, CO",2017,unknown
08009,"Baca County, CO",2017,unknown
08011,"Bent County, CO",2017,unknown
08013,"Boulder County, CO",2017,unknown
08014,"Broomfield County/city, CO",2017,unknown
08015,"Chaffee County, CO",2017,unknown
08017,"Cheyenne County, CO",2017,unknown
08019,"Clear Creek County, CO",2017,unknown
08021,"Conejos County, CO",2017,unknown
08023,"Costilla County, CO",2017,unknown
08025,"Crowley County, CO",2017,unknown
08027,"Custer County, CO",2017,unknown
08029,"Delta County, CO",2017,unknown
08031,"Denver County/city, CO",2017,unknown
08033,"Dolores County, CO",2017,unknown
08035,"Douglas County, CO",2017,unknown
08037,"Eagle County, CO",2017,unknown
08039,"Elbert County, CO",2017,unknown
08041,"El Paso County, CO",2017,unknown
08043,"Fremont County, CO",2017,unknown
08045,"Garfield County, CO",2017,unknown
08047,"Gilpin County, CO",2017,unknown
08049,"Grand County, CO",2017,unknown
08051,"Gunnison County, CO",2017,unknown
08053,"Hinsdale County, CO",2017,unknown
08055,"Huerfano County, CO",2017,unknown
08057,"Jackson County, CO",2017,unknown
08059,"Jefferson County, CO",2017,unknown
08061,"Kiowa County, CO",2017,unknown
08063,"Kit Carson County, CO",2017,unknown
08065,"Lake County, CO",2017,unknown
08067,"La Plata County, CO",2017,unknown
08069,"Larimer County, CO",2017,unknown
08071,"Las Animas County, CO",2017,unknown
08073,"Lincoln County, CO",2017,unknown
08075,"Logan County, CO",2017,unknown
08077,"Mesa County, CO",2017,unknown
08079,"Mineral County, CO",2017,unknown
08081,"Moffat County, CO",2017,unknown
08083,"Montezuma County, CO",2017,unknown
08085,"Montrose County, CO",2017,unknown
08087,"Morgan County, CO",2017,unknown
08089,"Otero County, CO",2017,unknown
08091,"Ouray County, CO",2017,unknown
08093,"Park County, CO",2017,unknown
08095,"Phillips County, CO",2017,unknown
08097,"Pitkin County, CO",2017,unknown
08099,"Prowers County, CO",2017,unknown
08101,"Pueblo County, CO",2017,unknown
08103,"Rio Blanco County, CO",2017,unknown
08105,"Rio Grande County, CO",2017,unknown
